title,photo,summary,published,link,category,source
"Díky jeho radám můžete vyrazit na houby i před Vánoci. Fotbalista Mašek vypráví o své vášni, které v zahraničí nerozumí",https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"O víkendech nastupuje Dominik Mašek v nejvyšší fotbalové lize, během volna sbírá a fotí houby. Jeho instagramový účet czech_mushrooms sleduje více než 16 tisíc lidí, kteří se díky šestadvacetiletému fotbalistovi dozví zajímavosti o málo známých druzích. Mašek v rozhovoru s Deníkem N popisuje, proč se začal houbaření věnovat intenzivně i jaký má k jeho zálibě vztah přísný trenér Karel Jarolím.","Fri, 10 Dec 2021 17:45:35 +0000",https://denikn.cz/765990/diky-jeho-radam-muzete-vyrazit-na-houby-i-pred-vanoci-fotbalista-masek-vypravi-o-sve-vasni-ktere-v-zahranici-nerozumi/,Sport,denikn.cz
Další mračna nad Juve. Italské úřady prověřují finanční optimalizace elitních klubů,https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Italské úřady prověřují tamní elitní fotbalové kluby a v centru pozornosti je Juventus Turín. Zatímco kauza, v níž byl velkoklub před 15 lety přeřazen do druhé ligy, souvisela s ovlivňováním výsledků a nasazováním rozhodčích, nyní se italští detektivové zaměřili na účetnictví týmů. A to všechno v době, kdy Juventus čelí dlouhodobější herní krizi a nachází se až na pátém místě tabulky se ztrátou 11 bodů na vedoucí AC Milán.","Tue, 07 Dec 2021 14:35:39 +0000",https://denikn.cz/762649/dalsi-mracna-nad-juve-italske-urady-proveruji-financni-optimalizace-elitnich-klubu/,Sport,denikn.cz
"Vykázanému šéfovi běloruského fotbalu dalo vízum Maďarsko. Nic překvapivého, říká analytik",https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Předseda běloruského fotbalu Vladimir Bazanov, kterého minulý týden vykázala z Česka policie, dostal podle zjištění Deníku N vízum do schengenského prostoru od Maďarska. „To je dnes pro Bělorusko nejjednodušší zemí, kde vízum do Schengenu přes vysoce postavené politické kontakty získat,“ říká analytik Asociace pro mezinárodní otázky Pavel Havlíček.","Mon, 06 Dec 2021 14:54:27 +0000",https://denikn.cz/762389/vykazanemu-sefovi-beloruskeho-fotbalu-dalo-vizum-madarsko-nic-prekvapiveho-rika-analytik/,Sport,denikn.cz
Ronaldo střílí góly navzdory věku. Překonal osmistovku a Bicana už má na dohled,https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Portugalec Cristiano Ronaldo proti Arsenalu načal devátou stovku soutěžních branek. Pokud mu vydrží zdraví, s největší pravděpodobností už v této sezoně překoná i legendárního Josefa Bicana, na nějž podle českých historiků ztrácí dvacet branek.","Fri, 03 Dec 2021 17:49:35 +0000",https://denikn.cz/761175/ronaldo-strili-goly-navzdory-veku-prekonal-osmistovku-a-bicana-uz-ma-na-dohled/,Sport,denikn.cz
"Bazanov se podílí na korupci a represích. Žalujeme UEFA a FIFA za nečinnost, říká šéf fondu",https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Vyhoštění fotbalového funkcionáře Vladimira Bazanova z Česka je do velké míry úspěchem Běloruského fondu sportovní solidarity, který sdružuje sportovce odmítající reprezentovat režim Alexandra Lukašenka. Právě tato asociace a kolegové z běloruského serveru Tribuna o víkendu upozornili Deník N, že Bazanov míří do Česka. Situaci v rozhovoru komentuje zakladatel a ředitel fondu Alexandr Opejkin.","Wed, 01 Dec 2021 15:53:37 +0000",https://denikn.cz/759542/bazanov-se-podili-na-korupci-a-represich-zalujeme-uefa-a-fifa-za-necinnost-rika-sef-fondu/,Sport,denikn.cz
Studio N: Proč Česko vykázalo šéfa běloruského fotbalu,https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Česká policie nařídila opustit zemi Vladimiru Bazanovovi, předsedovi Běloruské fotbalové asociace, který tu doprovázel ženský národní tým. Funkcionáři a jeho ženě dala čas dodneška a zrušila mu víza do Schengenu. Hosty podcastu jsou investigativní reportér Lukáš Prchal a editor sportovní rubriky David Janeczek.","Wed, 01 Dec 2021 14:45:47 +0000",https://denikn.cz/759618/studio-n-proc-cesko-vykazalo-sefa-beloruskeho-fotbalu/,Sport,denikn.cz
"Policie přikázala Lukašenkovu spojenci opustit Česko. Nemá tady co pohledávat, reagoval Kulhánek",https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Česká policie nařídila opustit zemi Vladimiru Bazanovovi, předsedovi Běloruské fotbalové asociace, který tu doprovázel ženský národní tým. Funkcionáři a jeho ženě dala čas dodneška a zrušila mu víza do Schengenu. Ministr zahraničí v demisi Jakub Kulhánek (ČSSD) Deníku N řekl, že podporovatel Alexandra Lukašenka nemá v Česku co pohledávat.","Wed, 01 Dec 2021 11:11:41 +0000",https://denikn.cz/759496/policie-prikazala-lukasenkovu-spojenci-opustit-cesko-nema-tady-co-pohledavat-reagoval-kulhanek/,Sport,denikn.cz
"Česká policie zadržela šéfa běloruského fotbalu, UEFA i Minsk žádají o pomoc Fotbalovou asociaci",https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Moravskoslezská cizinecká policie zadržela předsedu běloruského fotbalového svazu Vladimira Bazanova. Má podezření, že spojenec prezidenta Alexandra Lukašenka přijel do Česka na zápas domácích fotbalistek s Běloruskami bez povolení ke vstupu. Utkání se kvůli nákaze v hostujícím týmu nakonec nekoná.","Tue, 30 Nov 2021 14:23:54 +0000",https://denikn.cz/758914/ceska-policie-zadrzela-sefa-beloruskeho-fotbalu-ktery-pomaha-lukasenkovi-drzet-se-u-moci/,Sport,denikn.cz
"Do Česka má s fotbalistkami dorazit i Lukašenkův spojenec. Pokud se tu objeví, vyhostíme ho, říká Kulhánek",https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Ženskému fotbalu ani fotbalovým funkcionářům se obvykle nevěnuje přílišná pozornost. Veřejnost proto někdy netuší, kdo sportovce na cestách po světě doprovází. Deník N zjistil, že na úterní utkání s Českem má s běloruskými hráčkami přicestovat i šéf tamního fotbalového svazu Vladimir Bazanov, který pomáhá diktátorovi Alexandru Lukašenkovi udržet se u moci.","Mon, 29 Nov 2021 15:21:15 +0000",https://denikn.cz/758163/do-ceska-ma-s-fotbalistkami-dorazit-i-lukasenuv-spojenec-pokud-se-tu-objevi-vyhostime-ho-rika-kulhanek/,Sport,denikn.cz
Katar se rok před fotbalovým šampionátem chlubí reformami. Předchází jim tisíce mrtvých dělníků,https://static.novydenik.com/2020/09/logo_denikn_rgb.png,"Do zahájení mistrovství světa ve fotbale v Kataru zbývá rok. Turnaj se bude poprvé v historii konat na přelomu listopadu a prosince, protože v&#160;letních měsících, tradičních pro šampionát, se v zemi nedá pod otevřeným nebem sportovat kvůli vysokým teplotám. Akce se uskuteční navzdory úmrtí tisíců dělníků, kteří přišli o život při stavbě megalomanské infrastruktury pro druhou největší sportovní akci na světě, či zadržení norských novinářů, kteří se dlouhodobě věnují právě podmínkám pro migrující pracovníky.","Fri, 26 Nov 2021 14:06:25 +0000",https://denikn.cz/755791/katar-se-rok-pred-fotbalovym-sampionatem-chlubi-reformami-predchazi-jim-tisice-mrtvych-delniku/,Sport,denikn.cz
